CodigoArea;Nombre;Nodos
013S;Pruna y otros municipios;63
013V;Corbera y otros municipios;64
014A;Beniarrés y otros municipios;65
014B;Canyelles y Olivella;66
014M;San Martín de Valdeiglesias y Pelayos de la Presa;67
014S;Morón de la Frontera y Coripe;68
014V;Albalat de la Ribera y otros municipios;69
015A;Muro de Alcoy y otros municipios;70
015B;Martorelles y Santa Maria de Martorelles;71
015M;Cadalso de los Vidrios y otros municipios;72
015S;Utrera (distritos 02 y 04);73
015V;Albal y Beniparrell;74
016A;Verger, el y Poblets, els;75
016B;Vilanova del Vallès y otros municipios;76
016M;Serranillos del Valle y Batres;77
016S;Utrera (distrito 05) y otros municipios;78
016V;Riba-roja de Túria y Loriguilla;79
017A;Beniarbeig y otros municipios;80
017B;Sant Vicenç de Montalt y Caldes d'Estrac;81
017M;Cubas de la Sagra y Casarrubuelos;82
017S;Aznalcázar y Villamanrique de la Condesa;83
017V;Bonrepòs i Mirambell y otros municipios;84
018A;Xaló y otros municipios;85
018B;Sant Cebrià de Vallalta y otros municipios;86
018M;Chinchón y otros municipios;87
018S;Huévar del Aljarafe y otros municipios;88
018V;Albuixech y otros municipios;89
019A;Orba y otros municipios;90
019B;Sant Pere de Vilamajor y otros municipios;91
019M;Cabrera, La y otros municipios;92
019S;Olivares y Albaida del Aljarafe;93
019V;Serra y otros municipios;94
01AB;Albacete (distrito 08) y otros municipios;95
01AL;Benahadux y Pechina;96
01AS;Vegadeo y otros municipios;97
01AV;Ávila (distritos 01 a 03) y otros municipios;98
01BA;San Vicente de Alcántara y Codosera, La;99
01BI;Karrantza Harana/Valle de Carranza y otros municipios;100
01BU;Burgos (distritos 01, 02 y 04);101
01CA;Torrelavega (distritos 02 y 05);102
01CC;Brozas y otros municipios;103
01CE;Ceuta (distrito 06 y sección 004 del distrito 05);104
01CO;Almodóvar del Río y Guadalcázar;105
01CR;Ciudad Real (distrito 05) y otros municipios;106
01CS;Morella y otros municipios;107
01CU;Priego y otros municipios;108
01CZ;Cádiz (distrito 01);109
01CÑ;Cee y Corcubión;110
01GC;Valleseco y otros municipios;111
01GI;Sant Gregori y otros municipios;112
01GP;Eskoriatza y Elgeta;113
01GR;Fuente Vaqueros y otros municipios;114
01GU;Yunquera de Henares y Fontanar;115
01HS;Valle de Hecho y otros municipios;116
01HU;Ayamonte y Villablanca;117
01JA;Linares (distritos 02 y 03);118
01LE;Ponferrada (distritos 04 y 06) y otros municipios;119
01LL;Lleida (distritos 08 y 09);120
01LO;Fuenmayor y otros municipios;121
01LU;Lugo (distrito 08) y otros municipios;122
01MA;Cortes de la Frontera y otros municipios;123
01ME;Melilla (distrito 01 y 03);124
01MU;Campos del Río y otros municipios;125
01NA;Baztan y otros municipios;126
01OU;Coles y Amoeiro;127
01PA;Venta de Baños;128
01PO;Rodeiro y otros municipios;129
01SA;Terradillos y otros municipios;130
01SG;Villacastín y otros municipios;131
01SO;Covaleda y otros municipios;132
01TA;Catllar, El y Secuita, La;133
01TE;Albalate del Arzobispo y otros municipios;134
01TF;Santa Cruz de Tenerife (distritos 07 y 08);135
01TO;Méntrida y Valmojado;136
01VA;Boecillo y Viana de Cega;137
01VI;Ayala/Aiara y otros municipios;138
01ZA;Sádaba y otros municipios;139
01ZM;Zamora (distrito 04) y otros municipios;140
020A;Teulada y Benitachell/Poble Nou de Benitatxell, el;141
020B;Granada, La y otros municipios;142
020M;Miraflores de la Sierra y Bustarviejo;143
020S;Valencina de la Concepción y Castilleja de Guzmán;144
020V;Sagunto/Sagunt (distrito 01) y otros municipios;145
021A;Orihuela (distrito 08) y Rafal;146
021B;Olèrdola y Castellet i la Gornal;147
021M;Guadalix de la Sierra y Navalafuente;148
021S;Alcalá de Guadaíra (distritos 01 y 02);149
021V;Benifairó de les Valls y otros municipios;150
022A;Alfàs del Pi, l';151
022B;Sant Martí Sarroca y Castellví de la Marca;152
022M;Torrelaguna y Redueña;153
022S;Osuna y Lantejuela;154
022V;Sagunto/Sagunt (distritos 04, 05 y 08);155
023A;Almoradí;156
023B;Sant Pere de Riudebitlles y otros municipios;157
023M;Talamanca de Jarama y otros municipios;158
023S;Alcalá de Guadaíra (distrito 03);159
023V;Estivella y otros municipios;160
024A;Altea;161
024B;Font-rubí y otros municipios;162
024M;Valdetorres de Jarama;163
024S;Alcalá de Guadaíra (distrito 04);164
024V;Pedralba y otros municipios;165
025A;Aspe;166
025B;Castellar del Vallès y otros municipios;167
025M;Valdeolmos-Alalpardo y otros municipios;168
025S;Alcalá del Río;169
025V;Villar del Arzobispo y otros municipios;170
026A;Banyeres de Mariola;171
026B;Tordera y Fogars de la Selva;172
026M;Ajalvir;173
026S;Algaba, La;174
026V;Ademuz y otros municipios;175
027A;Benejúzar;176
027B;Palafolls y Santa Susanna;177
027M;Álamo, El;178
027S;Almensilla;179
027V;Chelva y otros municipios;180
028A;Benissa;181
028B;Seva y otros municipios;182
028M;Algete;183
028S;Arahal;184
028V;Venta del Moro y otros municipios;185
029A;Calp;186
029B;Aiguafreda y otros municipios;187
029M;Alpedrete;188
029S;Aznalcóllar;189
029V;Chiva y Godelleta;190
02AB;Chinchilla de Monte-Aragón y Pozo Cañada;191
02AL;Dalías y Balanegra;192
02AS;Allande y otros municipios;193
02AV;Ávila (distrito 06) y Berrocalejo de Aragona;194
02BA;Badajoz (distrito 08) y otros municipios;195
02BI;Sopuerta y Galdames;196
02BU;Valle de Mena;197
02CA;Villaescusa y otros municipios;198
02CC;Malpartida de Cáceres;199
02CE;Ceuta (sección 007 y otras secciones del distrito 05);200
02CO;Córdoba (varias secciones) y Victoria, La;201
02CR;Carrión de Calatrava y otros municipios;202
02CS;Traiguera y otros municipios;203
02CU;Villalba del Rey y otros municipios;204
02CZ;Cádiz (distrito 03);205
02CÑ;Muxía y Dumbría;206
02GC;Santa Lucía de Tirajana (distritos 01 y 02) y San Bartolomé de Tirajana (distrito 01);207
02GI;Bescanó y otros municipios;208
02GP;Bergara y otros municipios;209
02GR;Alhendín y Malahá, La;210
02GU;Yebes y Horche;211
02HS;Ayerbe y otros municipios;212
02HU;Villanueva de los Castillejos y otros municipios;213
02JA;Linares (distritos 01 y 08) y Torreblascopedro;214
02LE;Carracedelo y Toral de los Vados;215
02LL;Vielha e Mijaran y otros municipios;216
02LO;Albelda de Iregua y otros municipios;217
02LU;Guntín y Lugo (distrito 07);218
02MA;Benaoján y otros municipios;219
02ME;Melilla (distrito 04);220
02MU;Villanueva del Río Segura y otros municipios;221
02NA;Esteribar y otros municipios;222
02OU;Allariz y Taboadela;223
02PA;Grijota y otros municipios;224
02PO;Forcarei y Lama, A;225
02SA;Cabrerizos y otros municipios;226
02SG;Hontanares de Eresma y otros municipios;227
02SO;Garray y otros municipios;228
02TA;Pallaresos, Els;229
02TE;Valderrobres y otros municipios;230
02TF;Güímar y Fasnia;231
02TO;Santa Cruz del Retamar y otros municipios;232
02VA;Mojados y otros municipios;233
02VI;Ribera Baja/Erribera Beitia y otros municipios;234
02ZA;Ejea de los Caballeros y Biota;235
02ZM;Zamora (distrito 02) y otros municipios;236
030A;Callosa d'en Sarrià;237
030B;Castellterçol y otros municipios;238
030M;Arroyomolinos;239
030S;Benacazón;240
030V;Catadau y otros municipios;241
031A;Callosa de Segura;242
031B;Balenyà y otros municipios;243
031M;Becerril de la Sierra;244
031S;Bollullos de la Mitación;245
031V;Llombai y otros municipios;246
032A;Campello, el;247
032B;Taradell y otros municipios;248
032M;Boalo, El;249
032S;Bormujos;250
032V;Yátova y otros municipios;251
033A;Castalla;252
033B;Tona y otros municipios;253
033M;Brunete;254
033S;Brenes;255
033V;Cofrentes y otros municipios;256
034A;Catral;257
034B;Calldetenes y Folgueroles;258
034M;Camarma de Esteruelas y Valdeavero;259
034S;Burguillos;260
034V;Navarrés y otros municipios;261
035A;Cocentaina;262
035B;Sant Pere de Torelló y otros municipios;263
035M;Campo Real;264
035S;Cabezas de San Juan, Las;265
035V;Alcàntera de Xúquer y otros municipios;266
036A;Crevillent;267
036B;Sant Quirze de Besora y otros municipios;268
036M;Ciempozuelos;269
036S;Camas;270
036V;Anna y otros municipios;271
037A;Dénia;272
037B;Sant Hipòlit de Voltregà y Masies de Voltregà, Les;273
037M;Cobeña;274
037S;Campana, La;275
037V;Llosa de Ranes, la y otros municipios;276
038A;Dolores;277
038B;Gurb y otros municipios;278
038M;Colmenar de Oreja;279
038S;Cantillana;280
038V;Enguera y Chella;281
039A;Finestrat;282
039B;Prats de Lluçanès y otros municipios;283
039M;Colmenarejo;284
039S;Carmona;285
039V;Mogente/Moixent y otros municipios;286
03AB;Madrigueras y Motilleja;287
03AL;Láujar de Andarax y otros municipios;288
03AS;Boal y otros municipios;289
03AV;Ávila (distrito 04) y otros municipios;290
03BA;Talavera la Real y otros municipios;291
03BI;Güeñes y otros municipios;292
03BU;Alfoz de Quintanadueñas y otros municipios;293
03CA;Ribamontán al Mar y otros municipios;294
03CC;Casar de Cáceres y Garrovillas de Alconétar;295
03CE;Ceuta (distrito 04);296
03CO;Córdoba (SCD Alcolea y sección 044 del distrito 02) y Obejo;297
03CR;Villarta de San Juan y otros municipios;298
03CS;Càlig y otros municipios;299
03CU;Huete y otros municipios;300
03CZ;Cádiz (distrito 02);301
03CÑ;Carnota y Mazaricos;302
03GC;Antigua y Betancuria;303
03GI;Vilobí d'Onyar y Riudellots de la Selva;304
03GP;Urretxu y Antzuola;305
03GR;Dúrcal y Nigüelas;306
03GU;Guadalajara (distrito 04) y Chiloeches;307
03HS;Almudévar y otros municipios;308
03HU;Puebla de Guzmán y otros municipios;309
03JA;Torredelcampo y Fuerte del Rey;310
03LE;Camponaraya y otros municipios;311
03LL;Pont de Suert, El y otros municipios;312
03LO;Logroño (distritos 01 y 06);313
03LU;Lugo (distrito 06) y Friol;314
03MA;Ojén e Istán;315
03ME;Melilla (distrito 05);316
03MU;Abanilla;317
03NA;Irurtzun y otros municipios;318
03OU;San Cibrao das Viñas y Merca, A;319
03PA;Dueñas y otros municipios;320
03PO;Cerdedo-Cotobade y Campo Lameiro;321
03SA;Castellanos de Moriscos y otros municipios;322
03SO;Ólvega y otros municipios;323
03TA;Pobla de Mafumet, La y otros municipios;324
03TE;Castelserás y otros municipios;325
03TF;San Miguel de Abona y Vilaflor de Chasna;326
03TO;Camarena y Ventas de Retamosa, Las;327
03VA;Aldeamayor de San Martín y Portillo;328
03VI;Iruña Oka/Iruña de Oca y otros municipios;329
03ZA;San Mateo de Gállego y otros municipios;330
03ZM;Zamora (distrito 03) y otros municipios;331
040A;Gata de Gorgos;332
040B;Puig-reig y otros municipios;333
040M;Colmenar Viejo;334
040S;Castilblanco de los Arroyos;335
040V;Aielo de Malferit y otros municipios;336
041A;Guardamar del Segura;337
041B;Cercs y otros municipios;338
041M;Collado Mediano;339
041S;Castilleja de la Cuesta;340
041V;Albaida y otros municipios;341
042A;Ibi;342
042B;Bagà y otros municipios;343
042M;Daganzo de Arriba;344
042S;Coria del Río;345
042V;Rótova y otros municipios;346
043A;Jávea/Xàbia;347
043B;Gironella y otros municipios;348
043M;Escorial, El;349
043S;Coronil, El;350
043V;Pobla del Duc, la y otros municipios;351
044A;Jijona/Xixona;352
044B;Cardona y Sant Mateu de Bages;353
044M;Fuente el Saz de Jarama;354
044S;Dos Hermanas (distrito 01);355
044V;Montaverner y otros municipios;356
045A;Monforte del Cid;357
045B;Balsareny y Castellnou de Bages;358
045M;Galapagar;359
045S;Dos Hermanas (distrito 02);360
045V;Montserrat y Montroi/Montroy;361
046A;Monóvar/Monòver;362
046B;Abrera;363
046M;Griñón;364
046S;Dos Hermanas (distrito 03);365
046V;Alfafar y Llocnou de la Corona;366
047A;Mutxamel;367
047B;Alella;368
047M;Guadarrama;369
047S;Dos Hermanas (distrito 04);370
047V;Llíria y otros municipios;371
048A;Novelda;372
048B;Ametlla del Vallès, L';373
048M;Hoyo de Manzanares;374
048S;Dos Hermanas (distrito 05);375
048V;Museros y Emperador;376
049A;Nucia, la;377
049B;Arenys de Mar;378
049M;Humanes de Madrid;379
049S;Écija;380
049V;Oliva y otros municipios;381
04AB;Roda, La y otros municipios;382
04AL;Fiñana y otros municipios;383
04AS;Tapia de Casariego y Castropol;384
04AV;Cebreros y otros municipios;385
04BA;Montijo y Torremayor;386
04BI;Muskiz y Zierbena;387
04BU;Villalbilla de Burgos y otros municipios;388
04CA;Puente Viesgo y San Felices de Buelna;389
04CC;Sierra de Fuentes y otros municipios;390
04CE;Ceuta (distrito 03);391
04CO;Villafranca de Córdoba y Carpio, El;392
04CR;Manzanares y Llanos del Caudillo;393
04CS;Coves de Vinromà, les y otros municipios;394
04CU;Barajas de Melo y otros municipios;395
04CZ;Cádiz (distrito 04);396
04CÑ;Cabana de Bergantiños y Laxe;397
04GC;Agaete;398
04GI;Quart y Fornells de la Selva;399
04GP;Mutriku y Mendaro;400
04GR;Villa de Otura y Dílar;401
04GU;Torrejón del Rey y Galápagos;402
04HS;Grañén y otros municipios;403
04HU;Alosno y otros municipios;404
04JA;Marmolejo y Lopera;405
04LE;Robla, La y Pola de Gordón, La;406
04LL;Naut Aran y otros municipios;407
04LO;San Asensio y otros municipios;408
04LU;Lugo (distritos 04 y 09);409
04MA;Monda y Guaro;410
04ME;Melilla (distrito 02);411
04MU;Abarán;412
04NA;Orkoien y Cendea de Olza/Oltza Zendea;413
04OU;Pereiro de Aguiar, O y Nogueira de Ramuín;414
04PA;Baltanás y otros municipios;415
04PO;Valga y Catoira;416
04SA;Villoria y otros municipios;417
04SG;Lastrilla, La y otros municipios;418
04SO;Arcos de Jalón y otros municipios;419
04TA;Santa Bàrbara y otros municipios;420
04TE;Calanda y otros municipios;421
04TF;Garachico y Tanque, El;422
04TO;Viso de San Juan, El y Chozas de Canales;423
04VA;Santovenia de Pisuerga y Cabezón de Pisuerga;424
04VI;Zuia y Zigoitia;425
04ZA;Villamayor de Gállego y otros municipios;426
04ZM;Toro y otros municipios;427
050A;Ondara;428
050B;Arenys de Munt;429
050M;Loeches;430
050S;Espartinas;431
050V;Alberic y otros municipios;432
051A;Onil;433
051B;Argentona;434
051M;Manzanares el Real;435
051S;Fuentes de Andalucía;436
051V;Gandia (distrito 07) y Benirredrà;437
052A;Pedreguer;438
052B;Begues;439
052M;Meco;440
052S;Gelves;441
052V;Bocairent;442
053A;Pego;443
053B;Berga;444
053M;Mejorada del Campo;445
053S;Gerena;446
053V;Sollana;447
054A;Petrer;448
054B;Bigues i Riells;449
054M;Molar, El;450
054S;Gines;451
054V;Alcúdia de Crespins, l';452
055A;Pinós, el/Pinoso;453
055B;Cabrera de Mar;454
055M;Molinos, Los;455
055S;Guillena;456
055V;Ayora;457
056A;Polop;458
056B;Cabrils;459
056M;Moraleja de Enmedio;460
056S;Herrera;461
056V;Benigànim;462
057A;Redován;463
057B;Caldes de Montbui;464
057M;Moralzarzal;465
057S;Lebrija;466
057V;Guadassuar;467
058A;Rojales;468
058B;Calella;469
058M;Morata de Tajuña;470
058S;Mairena del Alcor;471
058V;Náquera;472
059A;San Fulgencio;473
059B;Canet de Mar;474
059M;Navalcarnero;475
059S;Mairena del Aljarafe;476
059V;Valencia (SCD Poblats del Nord);477
05AB;Tarazona de la Mancha y Villalgordo del Júcar;478
05AL;Gádor y otros municipios;479
05AS;Franco, El y Coaña;480
05AV;Tiemblo, El y Navahondilla;481
05BA;Valdelacalzada y Lobón;482
05BI;Ugao-Miraballes y otros municipios;483
05BU;Villagonzalo Pedernales y otros municipios;484
05CA;Potes y otros municipios;485
05CC;Ceclavín y otros municipios;486
05CE;Ceuta (distrito 01);487
05CO;Adamuz y Pedro Abad;488
05CR;Campo de Criptana y Arenales de San Gregorio;489
05CS;Cabanes y otros municipios;490
05CU;Horcajo de Santiago y otros municipios;491
05CZ;Cádiz (distrito 05);492
05CÑ;Rois y otros municipios;493
05GC;Agüimes;494
05GI;Celrà y Bordils;495
05GP;Zegama y otros municipios;496
05GR;Güejar Sierra y otros municipios;497
05GU;Sigüenza y otros municipios;498
05HS;Tierz y otros municipios;499
05HU;Cerro de Andévalo, El y otros municipios;500
05JA;Arjona y otros municipios;501
05LE;Sariegos y otros municipios;502
05LL;Sort y otros municipios;503
05LO;Haro y Briñas;504
05LU;Lugo (distritos 01 y 03);505
05MA;Casarabonela y otros municipios;506
05ME;Melilla (distrito 06);507
05MU;Águilas;508
05NA;Cizur y Galar;509
05OU;Barbadás y otros municipios;510
05PA;Villarramiel y otros municipios;511
05PO;Moraña y Portas;512
05SA;Calzada de Valdunciel y otros municipios;513
05SG;Nava de la Asunción y otros municipios;514
05SO;Berlanga de Duero y otros municipios;515
05TA;Deltebre y Sant Jaume d'Enveja;516
05TE;Alcorisa y otros municipios;517
05TF;San Sebastián de la Gomera y Alajeró;518
05TO;Recas y Lominchar;519
05VA;Villanubla y otros municipios;520
05VI;Legutio y otros municipios;521
05ZA;Burgo de Ebro, El y otros municipios;522
05ZM;Villaralbo y otros municipios;523
060A;Sant Joan d'Alacant;524
060B;Canovelles;525
060M;Nuevo Baztán;526
060S;Marchena;527
060V;Canet d'En Berenguer;528
061A;San Miguel de Salinas;529
061B;Cardedeu;530
061M;Paracuellos de Jarama;531
061S;Montellano;532
061V;Turís;533
062A;Santa Pola;534
062B;Castellbisbal;535
062M;Pedrezuela;536
062S;Palacios y Villafranca, Los;537
062V;Villanueva de Castellón;538
063A;Villajoyosa/Vila Joiosa, la;539
063B;Centelles;540
063M;Alcobendas (sección 004 y otras secciones del distrito 01);541
063S;Palomares del Río;542
063V;Rocafort;543
064A;Villena;544
064B;Collbató;545
064M;San Agustín del Guadalix;546
064S;Paradas;547
064V;Almàssera;548
065A;Pilar de la Horadada;549
065B;Corbera de Llobregat;550
065M;San Fernando de Henares;551
065S;Pedrera;552
065V;Foios;553
066A;Alcoy/Alcoi (distrito 01);554
066B;Cubelles;555
066M;San Lorenzo de El Escorial;556
066S;Pilas;557
066V;Pobla de Farnals, la;558
067A;Alcoy/Alcoi (distrito 02);559
067B;Dosrius;560
067M;San Martín de la Vega;561
067S;Puebla de Cazalla, La;562
067V;Olleria, l';563
068A;Alcoy/Alcoi (distrito 03);564
068B;Esparreguera;565
068M;Sevilla la Nueva;566
068S;Puebla del Río, La;567
068V;Cheste;568
069A;Alcoy/Alcoi (distrito 04);569
069B;Esplugues de Llobregat;570
069M;Soto del Real;571
069S;Rinconada, La;572
069V;Puig de Santa Maria, el;573
06AB;Alpera y otros municipios;574
06AL;Alhama de Almería y otros municipios;575
06AS;Soto del Barco y Muros de Nalón;576
06AV;Navas del Marqués, Las y Peguerinos;577
06BI;Orozko y otros municipios;578
06BU;Cardeñadijo y otros municipios;579
06CA;Valdáliga y otros municipios;580
06CC;Arroyo de la Luz;581
06CE;Ceuta (distrito 02);582
06CO;Montemayor y Espejo;583
06CR;Villahermosa y otros municipios;584
06CS;Vall d'Alba y otros municipios;585
06CU;Villamayor de Santiago y otros municipios;586
06CZ;Cádiz (distritos 06 y 07);587
06CÑ;Val do Dubra y Baña, A;588
06GC;Arucas;589
06GI;Alp y otros municipios;590
06GP;Idiazabal y otros municipios;591
06GR;Alfacar y Jun;592
06GU;Humanes y otros municipios;593
06HS;Aínsa-Sobrarbe y otros municipios;594
06HU;Aroche y Rosal de la Frontera;595
06JA;Porcuna y otros municipios;596
06LE;León (distritos 08 y 09);597
06LL;Bellver de Cerdanya y otros municipios;598
06LO;Casalarreina y otros municipios;599
06LU;Quiroga y otros municipios;600
06MA;Almogía y Villanueva de la Concepción;601
06ME;Melilla (distrito 08);602
06MU;Alcantarilla;603
06NA;Puente la Reina/Gares y otros municipios;604
06OU;San Cristovo de Cea y otros municipios;605
06PA;Astudillo y otros municipios;606
06PO;Barro y Pontevedra (distrito 06);607
06SA;Macotera y otros municipios;608
06SG;Carbonero el Mayor y otros municipios;609
06SO;San Esteban de Gormaz y otros municipios;610
06TA;Aldea, L' y Camarles;611
06TE;Montalbán y otros municipios;612
06TF;Valle Gran Rey y otros municipios;613
06TO;Cedillo del Condado y Palomeque;614
06VA;Valladolid (SCD Pajarillos Altos - Las Flores) y Renedo de Esgueva;615
06VI;Alegría-Dulantzi y otros municipios;616
06ZA;Pina de Ebro y otros municipios;617
06ZM;Fuentesaúco y otros municipios;618
070A;Alcoy/Alcoi (distrito 05);619
070B;Franqueses del Vallès, Les;620
070M;Torrejón de la Calzada;621
070S;Roda de Andalucía, La;622
070V;San Antonio de Benagéber;623
071A;Alcoy/Alcoi (distrito 06);624
071B;Garriga, La;625
071M;Torrejón de Velasco;626
071S;Salteras;627
071V;Rafelbunyol;628
072A;Alcoy/Alcoi (distrito 07);629
072B;Gavà;630
072M;Torrelodones;631
072S;San Juan de Aznalfarache;632
072V;Almussafes;633
073A;Benidorm (distrito 01);634
073B;Sant Salvador de Guardiola y Manresa (distrito 06);635
073M;Torres de la Alameda;636
073S;Sanlúcar la Mayor;637
073V;Tavernes Blanques;638
074A;Benidorm (distrito 02);639
074B;Igualada;640
074M;Valdemorillo;641
074S;Santiponce;642
074V;Torrent (distrito 02);643
075A;Benidorm (distrito 03);644
075B;Llagosta, La;645
075M;Velilla de San Antonio;646
075S;Sevilla (SCD Number 1-A);647
075V;Gandia (distrito 06);648
076A;Benidorm (distrito 04);649
076B;Llinars del Vallès;650
076M;Villa del Prado;651
076S;Sevilla (SCD Number 1-B);652
076V;Buñol;653
077A;Elche/Elx (distrito 01);654
077B;Lliçà d'Amunt;655
077M;Villalbilla;656
077S;Sevilla (SCD Number 1-C);657
077V;Massanassa;658
078A;Elche/Elx (distrito 02);659
078B;Lliçà de Vall;660
078M;Villanueva de la Cañada;661
078S;Sevilla (SCD Number 2-A);662
078V;Vilamarxant;663
079A;Elche/Elx (distrito 03);664
079B;Malgrat de Mar;665
079M;Villanueva del Pardillo;666
079S;Sevilla (SCD Number 2-B);667
079V;Alcàsser;668
07AB;Casas de Juan Núñez y otros municipios;669
07AL;Gérgal y otros municipios;670
07AS;Pravia y Candamo;671
07AV;Sanchidrián y otros municipios;672
07BA;Arroyo de San Serván y Torremejía;673
07BI;Igorre y otros municipios;674
07BU;Ibeas de Juarros y otros municipios;675
07CA;San Vicente de la Barquera y Val de San Vicente;676
07CC;Alcuéscar y otros municipios;677
07CO;Moriles y Monturque;678
07CR;Villanueva de la Fuente y otros municipios;679
07CS;Villafranca del Cid/Vilafranca y otros municipios;680
07CU;Mesas, Las y otros municipios;681
07CZ;Cádiz (distrito 08);682
07CÑ;Santiago de Compostela (distrito 06) y Trazo;683
07GC;Firgas;684
07GI;Campdevànol y otros municipios;685
07GP;Alegia y otros municipios;686
07GR;Huétor de Santillán y otros municipios;687
07GU;Jadraque y otros municipios;688
07HS;Lanaja y otros municipios;689
07HU;Cumbres Mayores y otros municipios;690
07JA;Guarromán y otros municipios;691
07LE;Valdefresno y otros municipios;692
07LL;Sant Llorenç de Morunys y otros municipios;693
07LO;Ezcaray y otros municipios;694
07LU;Pantón y otros municipios;695
07MA;Casabermeja y Colmenar;696
07ME;Melilla (distrito 07);697
07OU;Boborás y otros municipios;698
07PA;Paredes de Nava y otros municipios;699
07PO;Cañiza, A y Crecente;700
07SA;Calvarrasa de Abajo y otros municipios;701
07SG;Coca y otros municipios;702
07SO;Burgo de Osma-Ciudad de Osma y otros municipios;703
07TA;Ampolla, L' y Perelló, El;704
07TE;Calamocha y otros municipios;705
07TF;Frontera y Pinar de El Hierro, El;706
07TO;Carranque;707
07VA;Traspinedo y otros municipios;708
07VI;Oyón-Oion y otros municipios;709
07ZA;Sástago y otros municipios;710
07ZM;Corrales del Vino y otros municipios;711
080A;Elche/Elx (distrito 04);712
080B;Manlleu;713
080M;Villarejo de Salvanés;714
080S;Sevilla (SCD Number 2-C);715
080V;Sedaví;716
081A;Elche/Elx (distrito 05);717
081B;Martorell;718
081M;Villaviciosa de Odón;719
081S;Sevilla (SCD Number 2-D);720
081V;Valencia (SCD Marxalenes);721
082A;Elche/Elx (secciones 001 a 022 del distrito 06);722
082B;Masnou, El;723
082M;Tres Cantos;724
082S;Sevilla (SCD Number 3-A);725
082V;Meliana;726
083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);727
083B;Masquefa;728
083M;Alcalá de Henares (distrito 01);729
083S;Sevilla (SCD Number 3-B);730
083V;Benaguasil;731
084A;Elda (distrito 01);732
084B;Matadepera;733
084M;Alcalá de Henares (distrito 02);734
084S;Sevilla (SCD Number 4-A);735
084V;Valencia (SCD El Botànic/La Roqueta);736
085A;Elda (distrito 04);737
085B;Molins de Rei;738
085M;Alcalá de Henares (distrito 03);739
085S;Sevilla (SCD Number 4-B);740
085V;Picanya;741
086A;Elda (distrito 05);742
086B;Montcada i Reixac;743
086M;Alcalá de Henares (distrito 04);744
086S;Sevilla (SCD Number 4-C);745
086V;Utiel;746
087A;Orihuela (distrito 01);747
087B;Montgat;748
087M;Alcalá de Henares (distrito 05) y Santos de la Humosa, Los;749
087S;Sevilla (SCD Number 4-D);750
087V;Benifaió;751
088A;Orihuela (distrito 02);752
088B;Montmeló;753
088M;Alcorcón (distrito 01);754
088S;Sevilla (SCD Number 4-E);755
088V;Alcúdia, l';756
089A;Orihuela (distrito 03);757
